"","method","distance","link","outcome","level","est","jack_n","jack_mean","jack_se","jack_tvl","jack_pvl","outC"
"236","nearest","robust_mahalanobis",NA,"FertKg","Disabled sample",-41.4903915971245,101,-41.4305181069732,0.974216772357218,-42.5270014667555,0,"Fertilizer (Kg/ha)"
"235","nearest","robust_mahalanobis",NA,"FertKg","Full sample",-36.9347953409742,101,-36.3885555408802,0.832664032503804,-43.7013658815795,0,"Fertilizer (Kg/ha)"
"237","nearest","robust_mahalanobis",NA,"FertKg","non-Disabled sample",-32.0869829399478,101,-31.0726374393191,1.06390185619696,-29.2063006172315,0,"Fertilizer (Kg/ha)"
"227","nearest","robust_mahalanobis",NA,"HirdHr","Disabled sample",-31.1167585344807,101,-31.915203168992,1.12878291679395,-28.2739955523423,0,"Hired labor (man-days/ha)"
"226","nearest","robust_mahalanobis",NA,"HirdHr","Full sample",-30.1858364707094,101,-30.5377035187282,0.972222250940792,-31.4102084057197,0,"Hired labor (man-days/ha)"
"209","nearest","robust_mahalanobis",NA,"SeedKg","Disabled sample",-29.6358494086259,101,-29.510962110626,1.15932883517911,-25.455212718889,0,"Planting materials (real value)"
"228","nearest","robust_mahalanobis",NA,"HirdHr","non-Disabled sample",-29.1344925723765,101,-29.0010901519134,1.13416360402071,-25.5704644806992,0,"Hired labor (man-days/ha)"
"208","nearest","robust_mahalanobis",NA,"SeedKg","Full sample",-26.8045689676563,101,-26.6991610542902,0.97621117937353,-27.3497800664647,0,"Planting materials (real value)"
"245","nearest","robust_mahalanobis",NA,"PestLt","Disabled sample",-25.3832871148121,101,-25.9383675245258,1.03196208337674,-25.1350005415427,0,"Pesticide (Liter/ha)"
"210","nearest","robust_mahalanobis",NA,"SeedKg","non-Disabled sample",-23.9480983043783,101,-23.8685701258262,1.10134694482894,-21.6721626530988,0,"Planting materials (real value)"
"244","nearest","robust_mahalanobis",NA,"PestLt","Full sample",-22.8368004170485,101,-23.4572630922207,0.77859057070356,-30.1278540671561,0,"Pesticide (Liter/ha)"
"246","nearest","robust_mahalanobis",NA,"PestLt","non-Disabled sample",-20.0664734398339,101,-20.7573546979413,0.891887562936824,-23.2735106537321,0,"Pesticide (Liter/ha)"
"192","nearest","robust_mahalanobis",NA,"HrvstKg","non-Disabled sample",-2.62178376646785,101,-2.59772298485546,0.339950028886863,-7.64148481869963,1.39503963936249e-11,"Output (real value)"
"190","nearest","robust_mahalanobis",NA,"HrvstKg","Full sample",-1.53300086729292,101,-1.5604016009057,0.336944278320186,-4.63103753737855,1.10756188285155e-05,"Output (real value)"
"191","nearest","robust_mahalanobis",NA,"HrvstKg","Disabled sample",-0.395506969353527,101,-0.475023711957178,0.3810360078501,-1.24666357554337,0.215462471534333,"Output (real value)"
"219","nearest","robust_mahalanobis",NA,"HHLaborAE","non-Disabled sample",3.82158031011409,101,3.89900371491862,0.318780940408266,12.2309812811429,0,"Household labor (AE)"
"200","nearest","robust_mahalanobis",NA,"Area","Disabled sample",4.01812939959138,101,3.76702752483376,0.417144423584109,9.03051152516296,1.4210854715202e-14,"Land (ha)"
"217","nearest","robust_mahalanobis",NA,"HHLaborAE","Full sample",4.59290543997155,101,4.69775681004153,0.324735207361792,14.4664228070832,0,"Household labor (AE)"
"218","nearest","robust_mahalanobis",NA,"HHLaborAE","Disabled sample",5.38393270498972,101,5.51732386353867,0.371766683273124,14.8408238601771,0,"Household labor (AE)"
"199","nearest","robust_mahalanobis",NA,"Area","Full sample",5.69004235750498,101,5.54244343510644,0.370023444735959,14.9786277436053,0,"Land (ha)"
"201","nearest","robust_mahalanobis",NA,"Area","non-Disabled sample",7.32517237496067,101,7.27732350943316,0.348133132704062,20.9038520778182,0,"Land (ha)"
